pin,slack
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m189:A,-217
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m189:B,-276
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m189:C,-580
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m189:D,-572
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m189:Y,-580
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:CLK,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:D,8660
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:Q,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/do_calc_pipe[0]:SLn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:CLK,6314
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:D,7309
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:Q,6314
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/real_b_out_sum_slice[8]:SLn,
FFT_AHB_Wrapper_0/HRDATA_sig[13]:ADn,
FFT_AHB_Wrapper_0/HRDATA_sig[13]:ALn,6786
FFT_AHB_Wrapper_0/HRDATA_sig[13]:CLK,7579
FFT_AHB_Wrapper_0/HRDATA_sig[13]:D,-1677
FFT_AHB_Wrapper_0/HRDATA_sig[13]:EN,
FFT_AHB_Wrapper_0/HRDATA_sig[13]:LAT,
FFT_AHB_Wrapper_0/HRDATA_sig[13]:Q,7579
FFT_AHB_Wrapper_0/HRDATA_sig[13]:SD,
FFT_AHB_Wrapper_0/HRDATA_sig[13]:SLn,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_107:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_107:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_107:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_107:IPB,
FFT_Accel_system_sb_0/CCC_0/GL1_INST/U0_RGB1:An,
FFT_Accel_system_sb_0/CCC_0/GL1_INST/U0_RGB1:ENn,
FFT_Accel_system_sb_0/CCC_0/GL1_INST/U0_RGB1:YL,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:CLK,7437
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:D,8660
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:EN,7335
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:Q,7437
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Sample_Loader_0/p_load_state_manager.ram_dat_w_sig_0[7]:SLn,5942
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/CFG_20:B,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/CFG_20:C,4635
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/CFG_20:IPB,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/HARD_MULT_ADDSUB_C0_0/HARD_MULT_ADDSUB_C0_0/U0/U0/CFG_20:IPC,4635
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_sub_DFT_BFly_manager.un29_ram_ready_sig_NE_0:A,2957
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_sub_DFT_BFly_manager.un29_ram_ready_sig_NE_0:B,2866
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_sub_DFT_BFly_manager.un29_ram_ready_sig_NE_0:C,2805
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_sub_DFT_BFly_manager.un29_ram_ready_sig_NE_0:D,2685
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_sub_DFT_BFly_manager.un29_ram_ready_sig_NE_0:Y,2685
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_25:B,6852
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_25:C,4653
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_25:IPB,6852
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C0/CFG_25:IPC,4653
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:CLK,7402
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:D,7111
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:Q,7402
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/FFT_Butterfly_HW_MATHDSP_0/temp_imag_trunc_rnd[8]:SLn,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:IPA,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:IPB,
FFT_AHB_Wrapper_0/FFT_Core/p_FFT_DOUT_ADR_ADDR.un55_hsel_sig:A,4991
FFT_AHB_Wrapper_0/FFT_Core/p_FFT_DOUT_ADR_ADDR.un55_hsel_sig:B,3793
FFT_AHB_Wrapper_0/FFT_Core/p_FFT_DOUT_ADR_ADDR.un55_hsel_sig:C,4847
FFT_AHB_Wrapper_0/FFT_Core/p_FFT_DOUT_ADR_ADDR.un55_hsel_sig:D,4755
FFT_AHB_Wrapper_0/FFT_Core/p_FFT_DOUT_ADR_ADDR.un55_hsel_sig:Y,3793
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/HARD_MULT_ADDSUB_C1_0/HARD_MULT_ADDSUB_C1_0/U0/U0/FF_14:EN,
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/HARD_MULT_ADDSUB_C1_0/HARD_MULT_ADDSUB_C1_0/U0/U0/FF_14:IPENn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m63:A,2629
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m63:B,2595
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m63:C,2266
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m63:D,2254
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m63:Y,2254
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:CLK,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:D,8652
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:EN,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:Q,8668
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:SD,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_pipe_pusher.sampleB_adr_pipe_0[9]:SLn,5865
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:ADn,
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:ALn,6786
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:CLK,6158
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:D,6048
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:EN,
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:LAT,
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:Q,6158
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:SD,
FFT_AHB_Wrapper_0/Alpha_Max_plus_Beta_Min_0/val_max[1]:SLn,
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m178:A,2239
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m178:B,2179
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m178:C,1876
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m178:D,1873
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m178:Y,1873
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:CLK,4560
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:D,1034
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:EN,
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:Q,4560
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:SD,
FFT_AHB_Wrapper_0/FFT_Core/ram_dist_state_1[0]:SLn,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:IPA,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:IPB,
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:ADn,
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:ALn,6786
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:CLK,5572
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:D,6998
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:EN,5984
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:LAT,
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:Q,5572
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:SD,
FFT_AHB_Wrapper_0/FFT_Core/DPSRAM_0_assoc[1]:SLn,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_184:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_184:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_184:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_184:IPA,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_184:IPB,
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_0/masterDataInProg_RNIM4BF[0]:A,4666
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_0/masterDataInProg_RNIM4BF[0]:B,6256
CoreAHBLite_C0_0/CoreAHBLite_C0_0/matrix4x16/slavestage_0/masterDataInProg_RNIM4BF[0]:Y,4666
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:A,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:B,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:C,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:IPA,
FFT_Accel_system_sb_0/FFT_Accel_system_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_78:IPB,
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_wmux_0[6]:A,3392
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_wmux_0[6]:B,6989
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_wmux_0[6]:C,4712
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_wmux_0[6]:D,7117
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_wmux_0[6]:FCI,
FFT_AHB_Wrapper_0/FFT_Core/A_ADDR_0_temp_3_1_wmux_0[6]:Y,3392
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m323_3:A,4926
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m323_3:B,4643
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m323_3:C,1761
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/Twiddle_table_0/sin_twid_1_16_0_.m323_3:Y,1761
FFT_AHB_Wrapper_0/FFT_Core/FFT_Transformer_0/p_MACC_buf.bf0_imag_a_in_2_0_i_m2_bm[2]:A,6048
